Price,Close,High,Low,Open,Volume,10Y_Yield,SOXX_Close,VIX
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ,,,
Date,,,,,,,,
2010-01-04,40.48580551147461,40.546859983327295,40.35498305560194,40.40731403417373,62822800,3.85,14.0993070602417,20.040000915527344
2010-01-05,40.48580551147461,40.555580149570325,40.25904459173927,40.45964168570765,62935600,3.77,14.076671600341797,19.350000381469727
2010-01-06,40.241607666015625,40.59919442849802,40.18055651098485,40.46837195073427,96033000,3.85,14.034233093261719,19.15999984741211
2010-01-07,40.26776885986328,40.35498716636742,40.049728084160215,40.302656182464936,77094100,3.85,13.923882484436035,19.059999465942383
2010-01-08,40.59919738769531,40.59919738769531,40.05845712070709,40.18055943966843,88886600,3.83,14.13326358795166,18.1299991607666
2010-01-11,40.43348693847656,40.677691572567134,40.2241663042285,40.65152774092561,104673400,3.85,14.090822219848633,17.549999237060547
2010-01-12,39.927616119384766,40.241595292738566,39.709575396448784,40.189267648537864,90673900,3.74,13.598492622375488,18.25
2010-01-13,40.42476272583008,40.546868367747,39.77936382517625,40.04973228611019,100661000,3.8,13.756942749023438,17.850000381469727
2010-01-14,40.45965576171875,40.57303792455128,40.31138959474,40.34627359888622,75209000,3.76,13.73147964477539,17.6299991607666
2010-01-15,39.98868179321289,40.59919670478899,39.814251813081384,40.529425378144104,126849300,3.7,13.284416198730469,17.90999984741211
2010-01-19,40.63408660888672,40.67769410668544,40.07590265216989,40.084622820914106,84388200,3.73,13.437210083007812,17.579999923706055
2010-01-20,40.04972457885742,40.64279570302499,39.6223665590248,40.346260140941204,145680000,3.68,13.437210083007812,18.68000030517578
2010-01-21,39.67472839355469,40.424786384936624,39.50901516034385,40.1631379389159,204939600,3.62,13.352328300476074,22.270000457763672
2010-01-22,38.51472854614258,39.66598375680412,38.41006988891118,39.543881435527695,171098700,3.62,12.7241792678833,27.309999465942383
2010-01-25,38.645545959472656,38.89847071553005,38.479832850598704,38.750204593945995,154218700,3.66,12.899614334106445,25.40999984741211
2010-01-26,38.6804313659668,39.151400228858705,38.41878310670622,38.60193655548481,140816500,3.65,12.783600807189941,24.549999237060547
2010-01-27,38.985713958740234,39.11653650376895,38.3839189396717,38.61068334098569,161632700,3.66,12.961860656738281,23.139999389648438
2010-01-28,37.982704162597656,38.75020865900524,37.782107039214445,38.72404482940171,221439800,3.68,12.579877853393555,23.729999542236328
2010-01-29,37.319862365722656,38.392622651864755,37.18031639338804,38.296684172065,212099600,3.63,12.16111946105957,24.6200008392334
2010-02-01,37.729793548583984,37.747237218754556,37.398373796462714,37.41581746663329,136827100,3.68,12.574219703674316,22.59000015258789
2010-02-02,38.06993103027344,38.18330986873265,37.52918736530554,37.790839028307666,110727700,3.67,12.704378128051758,21.479999542236328
2010-02-03,38.27924346923828,38.34901812431949,37.869325688232855,37.88676935200316,93581600,3.73,12.701544761657715,21.600000381469727
2010-02-04,37.171592712402344,38.07864319155163,37.171592712402344,38.00014837456681,151652500,3.62,12.152623176574707,26.079999923706055
2010-02-05,37.48558044433594,37.520467776881716,36.7355194297975,37.26753960648356,213618600,3.59,12.429912567138672,26.110000610351562
2010-02-08,37.215206146240234,37.66001128918147,37.189042312080964,37.42452680063121,94354400,3.62,12.378985404968262,26.510000228881836
2010-02-09,37.59894943237305,37.94781265442951,37.2936903701559,37.66000057940887,118956000,3.67,12.526114463806152,26.0
2010-02-10,37.52044677734375,37.77337480618251,37.28496240501497,37.59894156812001,94102900,3.72,12.60251235961914,25.399999618530273
2010-02-11,38.08735656738281,38.192018522724624,37.29368837141536,37.52917278037772,93050800,3.73,12.86282730102539,23.959999084472656
2010-02-12,38.165855407714844,38.27051737412824,37.64255888380052,37.74721752317575,93938500,3.69,12.978836059570312,22.729999542236328
2010-02-16,38.65427780151367,38.68044163627523,38.24435997937454,38.44496046934319,83861400,3.66,13.261778831481934,22.25
2010-02-17,38.87233352661133,38.87233352661133,38.601961597986985,38.828726009617796,82691700,3.74,13.250462532043457,21.719999313354492
2010-02-18,39.116519927978516,39.18629458405863,38.76765662869411,38.84615145326487,65752600,3.79,13.295736312866211,20.6299991607666
2010-02-19,39.09907531738281,39.29094894655348,38.91591852871131,39.01185700681582,80416500,3.78,13.332521438598633,20.020000457763672
2010-02-22,39.020572662353516,39.27349739459058,38.863583061909715,39.256053735981524,72055000,3.8,13.307051658630371,19.940000534057617
2010-02-23,38.51472854614258,39.02058482233199,38.331575064227955,38.9944176627451,95814400,3.69,12.964686393737793,21.3700008392334
2010-02-24,38.907203674316406,39.06419332773704,38.65427552968997,38.71532669190479,86591000,3.7,13.208024024963379,20.270000457763672
2010-02-25,38.89847183227539,38.98569013603881,38.226909192006595,38.49727761607795,97961300,3.64,13.154264450073242,20.100000381469727
2010-02-26,39.03801727294922,39.12523557555464,38.72404136468387,38.889751149077085,66222400,3.61,13.131625175476074,19.5
2010-03-01,39.60492706298828,39.67470170942019,39.203732827119566,39.21245299440442,77290100,3.61,13.442872047424316,19.260000228881836
2010-03-02,39.72703170776367,39.98867999322209,39.63981672162368,39.744475370399364,76368500,3.62,13.442872047424316,19.059999465942383
2010-03-03,39.7706413269043,39.962518299115835,39.62237517713257,39.82297231760889,65735500,3.63,13.377792358398438,18.829999923706055
2010-03-04,39.90147018432617,39.95380117902322,39.5962143661906,39.79681152197096,54470900,3.61,13.366473197937012,18.719999313354492
2010-03-05,40.50326919555664,40.59048753629647,40.11079830686566,40.198013320565984,68136300,3.69,13.516438484191895,17.420000076293945
2010-03-08,40.581756591796875,40.677695085485865,40.50326176305487,40.52070542800186,58712400,3.72,13.510778427124023,17.790000915527344
